[server] inference ok 9.4s
[server] inference ok 6.6s
[server] inference ok 6.5s
[server] inference ok 7.2s
[server] inference ok 6.5s
[server] inference ok 6.0s
[server] inference ok 6.9s
[server] inference ok 8.4s
[server] inference ok 7.3s
[server] inference ok 7.1s
[server] inference ok 6.3s
[server] inference ok 7.2s
[server] inference ok 6.8s
[server] inference ok 6.9s
[server] inference ok 7.8s
[server] inference ok 6.4s
[server] inference ok 5.4s
[server] inference ok 6.3s
[server] inference ok 6.3s
[server] inference ok 7.2s
[server] inference ok 7.8s
[server] inference ok 6.1s
[server] inference ok 5.9s
[server] inference ok 5.7s
[server] inference ok 6.2s
[server] inference ok 7.5s
[server] inference ok 6.1s
[server] inference ok 6.6s
No <traj_future_start> token found in generated sequences for sequence 5
[server] inference ok 13.6s
[server] inference ok 6.0s
[server] inference ok 6.2s
[server] inference ok 6.8s
[server] inference ok 6.7s
[server] inference ok 7.6s
[server] inference ok 6.7s
[server] inference ok 6.0s
[server] inference ok 6.1s
[server] inference ok 6.6s
No <traj_future_start> token found in generated sequences for sequence 7
[server] inference ok 8.8s
[server] inference ok 4.4s
[server] inference ok 4.1s
[server] inference ok 4.4s
[server] inference ok 7.3s
[server] inference ok 4.3s
[server] inference ok 4.3s
[server] inference ok 4.4s
[server] inference ok 5.5s
[server] inference ok 3.8s
[server] inference ok 3.6s
[server] inference ok 4.1s
[server] inference ok 4.3s
[server] inference ok 4.1s
[server] inference ok 5.4s
[server] inference ok 4.3s
[server] inference ok 4.2s
[server] inference ok 3.9s
[server] inference ok 3.7s
[server] inference ok 4.6s
[server] inference ok 3.8s
[server] inference ok 4.9s
[server] inference ok 6.7s
[server] inference ok 6.1s
[server] inference ok 8.5s
[server] inference ok 5.7s
[server] inference ok 5.9s
[server] inference ok 7.1s
[server] inference ok 6.9s
[server] inference ok 6.0s
[server] inference ok 8.3s
[server] inference ok 6.2s
[server] inference ok 6.7s
[server] inference ok 7.0s
No <traj_future_start> token found in generated sequences for sequence 4
